race_name,category,climb_name,climb_url,length,steepness,top,km_before_finnish
la-fleche-wallone,42.496 km/h,Côte d'Ereffe,location/cote-d-ereffe,2.2,5.4,259.0,44.0
la-fleche-wallone,42.496 km/h,Côte d'Ereffe,location/cote-d-ereffe,2.2,5.4,259.0,13.0
la-fleche-wallone,42.496 km/h,Mur de Huy,location/mur-de-huy,1.3,9.5,202.0,95.0
la-fleche-wallone,42.496 km/h,Mur de Huy,location/mur-de-huy,1.3,9.5,202.0,63.0
la-fleche-wallone,42.496 km/h,Mur de Huy,location/mur-de-huy,1.3,9.5,202.0,32.0
la-fleche-wallone,42.496 km/h,Mur de Huy,location/mur-de-huy,1.3,9.5,202.0,0.0
liège-bastogne-liège,40.851 km/h,Col du Rosier,location/col-du-rosier,4.5,5.7,563.0,60.0
liège-bastogne-liège,40.851 km/h,Côte de la Haute-Levée,location/cote-de-la-haute-levee,3.0,6.4,465.0,74.0
liège-bastogne-liège,40.851 km/h,Côte de Wanne,location/cote-de-wanne,2.9,4.6,491.0,85.0
liège-bastogne-liège,40.851 km/h,Côte de Bonnerue,location/cote-de-bonnerue,2.4,5.7,442.0,178.0
liège-bastogne-liège,40.851 km/h,Côte de Mont-le-Soie,location/cote-de-mont-le-soie,1.8,6.6,565.0,93.0
liège-bastogne-liège,40.851 km/h,Côte de Desnié,location/cote-de-desnie,1.6,7.5,376.0,47.0
liège-bastogne-liège,40.851 km/h,Côte de La Redoute,location/la-redoute,1.6,8.8,275.0,34.0
liège-bastogne-liège,40.851 km/h,Côte des Forges,location/cote-des-forges,1.3,7.4,275.0,23.0
liège-bastogne-liège,40.851 km/h,Côte de la Roche-aux-Faucons,location/cote-de-la-roche-aux-faucons,1.3,10.1,213.0,13.0
liège-bastogne-liège,40.851 km/h,Côte de Stockeu (stèle Eddy Merckx),location/stockeu,1.0,12.7,415.0,78.0
liège-bastogne-liège,40.851 km/h,Côte de Saint-Roch,location/cote-de-saint-roch,0.9,10.6,448.0,137.0
tour-de-romandie,44.792 km/h,Leysin,location/leysin,13.8,6.0,1259.0,1.0
tour-de-romandie,44.792 km/h,Les Mosses,location/col-des-mosses,12.8,4.2,1429.0,56.0
tour-de-romandie,44.792 km/h,Les Rives,location/les-rives,9.6,5.4,950.0,52.0
tour-de-romandie,44.792 km/h,Ovronnaz,location/ovronnaz,9.1,9.5,1359.0,107.0
tour-de-romandie,44.792 km/h,Les Marécottes,location/les-marecottes,7.6,7.5,1041.0,0.0
tour-de-romandie,44.792 km/h,Sorens,location/sorens,4.2,7.5,1026.0,116.0
tour-de-romandie,44.792 km/h,Les Giettes,location/les-giettes,4.1,8.3,1142.0,45.0
