climb_name,climb_url,length,steepness,top,km_before_finnish,race_name
Lamon,location/lamon,3.4,5.6,606,160,giro-d-italia
Grotti,location/grotti-toscana,3.3,4.9,366,40,giro-d-italia
Montemagno,location/montemagno,3.0,4.3,214,21,giro-d-italia
Berzano di San Pietro,location/berzano-di-san-pietro,3.0,5.0,390,92,giro-d-italia
Muro di Ca' del Poggio,location/muro-di-ca-del-poggio,1.1,11.7,236,154,giro-d-italia
Ostra,location/ostra,1.0,8.5,176,55,giro-d-italia
Casaglia,location/casaglia-perugia,0.0,0.0,0,5,giro-d-italia
Col de la Ramaz,location/col-de-la-ramaz,14.0,7.0,1617,37,dauphine
Le Salève,location/le-saleve,12.2,6.8,1283,58,dauphine
Le Collet d'Allevard,location/le-collet-d-allevard,11.2,8.4,1415,0,dauphine
Samoëns 1600,location/samoens-1600,9.9,9.0,1617,0,dauphine
Col des Saisies,location/col-des-saisies,9.5,6.5,1649,122,dauphine
Plateau des Glières - Col des Glières,location/montee-du-plateau-des-glieres,9.3,7.3,1442,0,dauphine
Col du Granier,location/col-du-granier,8.9,5.5,1145,45,dauphine
Côte de Saint-Georges-en-Couzan,location/cote-de-saint-georges-en-couzan,7.4,5.7,854,18,dauphine
Col de la Forclaz-de-Montmin,location/col-de-la-forclaz-montmin,7.1,7.2,1140,146,dauphine
Côte d’Arâches,location/cote-d-araches,6.2,7.4,948,69,dauphine
Côte de Fagot,location/cote-de-fagot,5.3,5.3,700,97,dauphine
Côte de Duerne,location/cote-de-duerne,5.0,6.9,805,91,dauphine
Col des Esserieux,location/col-des-esserieux,4.6,5.0,750,129,dauphine
Col Saint-Thomas,location/col-saint-thomas,4.4,6.7,925,75,dauphine
Côte de Givors,location/cote-de-givors,3.8,4.7,341,56,dauphine
Les Estables - Côte des Estables,location/cote-des-estables,3.8,4.9,1337,0,dauphine
Côte de Saint-Victor-sur-Arlanc,location/cote-de-saint-victor-sur-arlanc,3.3,8.8,987,94,dauphine
Côte de Retournac,location/cote-de-retournac,3.2,5.3,691,57,dauphine
Col de la Croix Ladret,location/col-de-la-croix-de-ladret,3.2,5.8,1043,8,dauphine
Côte d'Augerolles,location/cote-daugerolles,2.4,5.7,536,160,dauphine
